ICD	hcluster_embed	kcluster_embed	dtcluster_embed	dtcolor_embed
S58	14	17	19	lightyellow
S59	14	17	11	greenyellow
S60	14	17	11	greenyellow
S61	14	17	11	greenyellow
S62	7	17	9	magenta
S63	14	17	11	greenyellow
S64	14	17	11	greenyellow
S65	14	17	11	greenyellow
S66	14	17	11	greenyellow
S67	14	17	19	lightyellow
S68	14	17	19	lightyellow
S69	14	17	11	greenyellow
S70	14	18	19	lightyellow
S71	7	18	9	magenta
S72	7	18	9	magenta
S73	14	12	19	lightyellow
S74	14	18	11	greenyellow
S75	14	18	11	greenyellow
S76	14	18	19	lightyellow
S77	14	18	19	lightyellow
S78	14	18	19	lightyellow
S79	7	18	9	magenta
S80	14	18	19	lightyellow
S81	14	18	19	lightyellow
S82	14	18	19	lightyellow
S83	14	12	19	lightyellow
S84	14	18	11	greenyellow
S86	14	18	19	lightyellow
S87	14	18	19	lightyellow
S89	14	18	19	lightyellow
S90	14	18	19	lightyellow
S91	14	18	19	lightyellow
S92	14	18	19	lightyellow
S93	14	18	19	lightyellow
S94	14	18	11	greenyellow
S95	14	18	11	greenyellow
S96	14	18	19	lightyellow
S97	14	18	19	lightyellow
S98	14	18	19	lightyellow
S99	14	18	19	lightyellow
T00	14	6	11	greenyellow
T02	7	12	9	magenta
T03	14	12	11	greenyellow
T04	14	12	19	lightyellow
T05	14	12	19	lightyellow
T08	7	12	9	magenta
T09	14	12	11	greenyellow
T10	7	17	9	magenta
T11	14	17	11	greenyellow
T12	14	18	19	lightyellow
T13	14	18	19	lightyellow
T14	20	7	6	red
T15	7	13	17	grey60
T17	4	4	3	brown
T18	4	3	3	brown
T19	4	10	3	brown
T20	14	12	19	lightyellow
T21	14	12	19	lightyellow
T22	14	17	19	lightyellow
T23	14	17	19	lightyellow
T24	14	18	19	lightyellow
T25	14	18	19	lightyellow
T26	7	13	17	grey60
T27	3	12	12	tan
T28	14	12	19	lightyellow
T29	14	12	19	lightyellow
T31	14	12	19	lightyellow
T32	14	12	19	lightyellow
T34	14	18	11	greenyellow
T35	14	18	11	greenyellow
T36	12	15	6	red
T37	12	15	6	red
T38	12	15	6	red
T39	12	15	6	red
T40	12	15	6	red
T41	12	15	6	red
T42	12	15	6	red
T43	12	15	6	red
T44	12	15	6	red
T45	12	15	6	red
T46	12	15	6	red
T47	12	15	6	red
T48	12	15	6	red
T49	12	15	6	red
T50	12	15	6	red
T51	12	15	6	red
T52	12	15	6	red
T53	12	15	6	red
T54	12	15	6	red
T55	12	15	6	red
T57	12	15	6	red
T58	12	21	6	red
T60	12	15	6	red
T61	12	21	6	red
T62	12	15	6	red
T63	12	15	6	red
T64	12	15	6	red
T65	12	15	6	red
T66	20	12	6	red
T68	6	14	16	lightcyan
T70	20	19	6	red
T73	4	16	3	brown
T74	6	7	16	lightcyan
T75	20	19	6	red
T76	20	19	6	red
T79	20	19	15	midnightblue
T80	10	7	0	grey
T81	10	9	0	grey
T82	21	3	0	grey
T83	21	10	0	grey
T84	10	12	0	grey
T85	21	3	0	grey
T86	10	3	0	grey
T87	10	18	0	grey
T88	10	9	0	grey
T90	5	12	1	turquoise
T91	5	7	1	turquoise
T92	5	17	1	turquoise
T93	5	18	1	turquoise
T94	5	7	1	turquoise
T95	5	7	1	turquoise
T98	10	7	0	grey
U04	3	4	12	tan
U80	3	1	2	blue
U81	3	1	2	blue
U82	3	1	2	blue
U83	22	15	0	grey
U84	22	15	0	grey
U85	22	15	0	grey
U88	3	1	2	blue
U89	3	1	2	blue
V01	19	22	7	black
V02	19	22	7	black
V03	19	22	7	black
V04	19	22	7	black
V05	19	22	7	black
V06	19	22	7	black
V09	19	22	7	black
V10	19	22	7	black
V11	19	22	7	black
V12	19	22	7	black
V13	19	22	7	black
V14	19	22	7	black
V15	19	22	7	black
V16	19	22	7	black
V17	19	22	7	black
V18	19	22	7	black
V19	19	22	7	black
V20	19	22	7	black
V21	19	22	7	black
V22	19	22	7	black
V23	19	22	7	black
V24	19	22	7	black
V25	19	22	7	black
V26	19	22	7	black
V27	19	22	7	black
V28	19	22	7	black
V29	19	22	7	black
V30	19	22	7	black
V31	19	22	7	black
V32	19	22	7	black
V33	19	22	7	black
V34	19	22	7	black
V35	19	22	7	black
